Formula,Peso Molecular,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,IC50
C52H67N7O8,917.5051121039999,6.359200000000007,3,11,175.64000000000001,11,550.0
C55H71N9O9,1001.5374748519998,4.513700000000008,3,14,200.99999999999997,10,55.0
C55H71N9O9,1001.5374748519998,4.513700000000008,3,14,200.99999999999997,10,55.0
C54H72N8O8,960.5473112639999,5.900900000000007,3,12,178.88000000000002,12,55.0
C54H72N8O8,960.5473112639999,5.900900000000007,3,12,178.88000000000002,12,55.0
C56H74N8O9,1002.557875948,5.671500000000008,3,13,188.10999999999999,12,550.0
C56H74N8O9,1002.557875948,5.671500000000008,3,13,188.10999999999999,12,550.0
C52H65N9O7,927.5006954199999,4.100700000000007,2,12,171.53999999999996,8,550.0
C53H69N9O8S,991.498981168,4.869600000000008,2,14,180.77,10,5500.0
C53H69N9O8S,991.498981168,4.869600000000008,2,14,180.77,10,5500.0
C54H72N8O7,944.5523966439999,6.195300000000008,2,11,158.65,12,5500.0
C54H72N8O7,944.5523966439999,6.195300000000008,2,11,158.65,12,5500.0
C52H65N9O9,959.4905246599999,3.390300000000005,3,14,201.0,9,550.0
C56H73N9O8,999.5582102959999,4.472900000000009,3,13,182.12000000000003,10,55.0
C50H63N9O7S,933.4571163559999,4.1622000000000074,2,13,171.54000000000002,8,550.0
C56H72N8O8,984.547311264,5.413100000000008,2,12,167.87999999999997,10,5500.0
C56H72N8O8,984.547311264,5.413100000000008,2,12,167.87999999999997,10,5500.0
C55H70N8O8,970.5316612,4.930200000000006,2,12,167.88,9,5500.0
C55H70N8O8,970.5316612,4.930200000000006,2,12,167.88,9,5500.0
C49H58N8O7,870.442846196,5.326380000000005,3,11,190.2,8,550.0
C52H67N7O8,917.5051121039999,6.359200000000007,3,11,175.64000000000001,11,550.0
C52H67N7O8,917.5051121039999,6.359200000000007,3,11,175.64000000000001,11,550.0
C53H66N8O7,926.505446452,4.705700000000007,2,11,158.64999999999998,8,550.0
C55H70N8O8,970.5316611999999,5.319700000000007,3,12,178.88000000000002,9,55.0
C55H70N8O8,970.5316611999999,5.319700000000007,3,12,178.88000000000002,9,55.0
C50H63N7O8,889.473811976,5.486200000000005,3,11,175.64000000000001,9,550.0
C52H65N7O8,915.4894620399999,5.806400000000006,3,11,175.64000000000001,9,
C52H65N7O8,915.4894620399999,5.806400000000006,3,11,175.64000000000001,9,550.0
C55H70N8O9,986.52657582,4.557700000000008,3,13,188.10999999999999,10,55.0
C52H68N10O8S,992.494230136,4.264600000000008,2,15,193.66,10,550.0
C47H61N9O7S,895.4414662920001,5.1150000000000055,2,13,181.19000000000003,10,5500.0
C56H74N8O8,986.562961328,5.964300000000009,2,12,167.87999999999997,13,5500.0
C56H74N8O8,986.562961328,5.964300000000009,2,12,167.87999999999997,13,55.0
C51H64N8O7S,932.461867388,4.767200000000006,2,12,158.64999999999998,8,5500.0
C53H67N7O8,929.5051121039999,6.359200000000007,3,11,175.64000000000001,11,550.0
C53H67N7O8,929.5051121039999,6.359200000000007,3,11,175.64000000000001,11,55.0
C53H67N9O8,957.511260104,4.245700000000009,2,13,180.76999999999998,9,5500.0
C57H74N8O9,1014.557875948,5.334700000000008,3,13,188.10999999999999,10,550.0
C57H74N8O9,1014.557875948,5.334700000000008,3,13,188.10999999999999,10,550.0
C51H65N7O8,903.48946204,5.1493000000000055,4,12,184.42999999999998,12,5500.0
C51H65N7O8,903.48946204,5.1493000000000055,4,12,184.42999999999998,12,5500.0
C51H65N7O8,903.48946204,5.1493000000000055,4,12,184.42999999999998,12,5500.0
C51H65N7O8,903.48946204,5.1493000000000055,4,12,184.42999999999998,12,5500.0
C51H65N7O8,903.48946204,5.1493000000000055,4,12,184.42999999999998,12,5500.0
C51H65N7O8,903.48946204,5.1493000000000055,4,12,184.42999999999998,12,5500.0
C52H65N7O7,899.4945474199999,5.510800000000006,4,11,165.55,9,5500.0
C52H65N7O7,899.4945474199999,5.510800000000006,4,11,165.55,9,5500.0
C56H73N9O6,967.5683810559998,7.018700000000007,4,12,164.61,14,5500.0
C56H73N9O6,967.5683810559998,7.018700000000007,4,12,164.61,14,5500.0
C53H68N6O9,932.504777756,5.726800000000006,4,12,180.76999999999998,13,550.0
C53H68N6O9,932.504777756,5.726800000000006,4,12,180.76999999999998,13,550.0
C57H71N7O8,981.536412232,7.3912000000000075,4,11,174.78,14,550.0
C57H71N7O8,981.536412232,7.3912000000000075,4,11,174.78,14,550.0
C51H64N6O7,872.4836483879999,6.483540000000007,3,9,153.52,8,550.0
C51H62N6O8,886.462912944,5.896900000000006,3,10,162.75,8,550.0
C52H59N7O8,909.4425118479999,6.201700000000006,3,11,175.64000000000001,9,5500.0
C51H57N7O8,895.4268617839999,6.177400000000006,4,11,184.42999999999998,9,5500.0
