Mol1,Mol2,Similarity
2,36,0.48864864864864865
2,37,0.48881789137380194
2,38,0.48440860215053766
2,39,0.48829787234042554
2,40,0.4715846994535519
2,41,0.4894308943089431
2,42,0.48099260823653645
2,43,0.4778138528138528
2,44,0.47419880499728406
2,45,0.49295774647887325
2,46,0.47170837867247006
2,47,0.4817204301075269
2,48,0.48526315789473684
2,49,0.47950377562028046
3,4,0.7295733911785972
3,5,0.7451587916343919
3,6,0.8477769404672193
3,7,0.749034749034749
3,8,0.8915857605177994
3,9,0.6063604240282685
3,10,0.7141848976711362
3,11,0.6537878787878788
3,12,0.7600308641975309
3,13,0.7068965517241379
3,14,0.6704545454545454
3,15,0.6518518518518519
3,16,0.7505668934240363
3,17,0.6181672025723473
3,18,0.6047024246877296
3,19,0.7601694915254237
3,20,0.7489677952105698
3,21,0.6698950766747377
3,22,0.6031631919482386
3,23,0.6341292134831461
3,24,0.5392838054516301
3,25,0.5256270447110142
3,26,0.5302375809935205
3,27,0.5399361022364217
3,28,0.5292259083728278
3,29,0.5433862433862434
3,30,0.5411140583554377
3,31,0.5522788203753352
3,32,0.5517981749865808
3,33,0.5363924050632911
3,34,0.5426439232409381
3,35,0.5410885805763074
3,36,0.5421816227834497
3,37,0.5481127060074429
3,38,0.5344
3,39,0.5458885941644562
3,40,0.5249728555917481
3,41,0.5447680690399137
3,42,0.535751840168244
3,43,0.5364274150026983
3,44,0.5272531030760929
3,45,0.5465805061927841
3,46,0.529826464208243
3,47,0.550755939524838
3,48,0.5406397482957525
3,49,0.5370967741935484
4,5,0.856911883589329
4,6,0.6842105263157895
4,7,0.8620967741935484
4,8,0.7323636363636363
4,9,0.6850909090909091
4,10,0.8103953147877013
4,11,0.6961157654226962
4,12,0.7816091954022989
4,13,0.7704042715484363
4,14,0.6922498118886381
4,15,0.705926481620405
4,16,0.888
4,17,0.6020249221183801
4,18,0.6239067055393586
4,19,0.7371007371007371
4,20,0.7706797706797707
4,21,0.6494925839188135
4,22,0.6036671368124118
4,23,0.6592022393282015
4,24,0.5430079155672823
4,25,0.5271359484148307
