SMILES,Formula,Molecular weight,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds
CCOC(=O)c1c(C)[nH]c2c1c(cn(C)c2=O)C#CC1(O)CCCCC1,C20H24N2O4,356.173607248,2.3984200000000007,2,5,84.32000000000001,2
CCn1cc(c(n1)C(F)(F)F)-c1cc(CNC(=N)C2CCOC2)cc(c1)C(=O)N[C@@H](C1CC1)c1ccc(F)c(C)c1,C30H33F4N5O2,571.2570381759999,6.020790000000005,3,5,92.03,9
CC1CCCCC1NC(=O)CN1C(=O)c2cccc(N)c2C1=O,C17H21N3O3,315.15829153199996,1.5596999999999999,2,4,92.5,3
CN(C)CCNC(=O)c1cncc(c1)-c1cccc(c1)C(=O)N[C@H]1CN[C@H](C1)C(=O)Nc1ccc(Cl)c(c1)C(F)(F)F,C29H30ClF3N6O3,602.2020011600001,3.8112000000000013,4,6,115.46000000000001,9
CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(O)=O,C18H29N3O6,383.205635648,-0.11349999999999688,3,5,128.34,9
NCc1cccc(c1)-n1nc(cc1C(=O)Nc1cccc(c1)C(NCC1CC1)c1cccc(c1)C#N)C(F)(F)F,C30H27F3N6O,544.219844144,5.5627800000000045,3,6,108.75999999999999,9
CCCCOc1ncnc2c3cc(F)ccc3[nH]c12,C14H14FN3O,259.112090288,3.429100000000002,1,3,50.800000000000004,4
COc1ncc(F)cc1CN1CCN(CC1)c1ccc(cn1)-c1cc(cn2ncc(C#N)c12)-c1cnn(C)c1,C28H26FN9O,523.2244346720001,3.533380000000002,0,10,100.4,6
COc1cc2c(Oc3ccc(NS(=O)(=O)c4cccc(c4)-c4ccoc4)cc3F)ccnc2cc1OCCCN1CCOCC1,C33H32FN3O7S,633.194499584,6.336700000000007,1,9,112.36,12
NC1CCCN(C1)C1CC(CC1n1cccn1)c1ccc(F)cc1,C19H25FN4,328.20632502,2.9326000000000008,1,4,47.08,3
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#CC3(O)CN4CCC3CC4)c2c(=O)n1-c1ccccc1,C33H31N7O3,573.248837852,2.9148000000000005,3,9,130.78,4
Clc1ccc(CNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)c(Cl)c1,C24H30Cl2N6O2,504.18072956,4.492300000000003,3,6,99.25000000000001,10
FC(F)Oc1cccc(CNC(=O)Nc2ccc(cc2F)[C@H]2CNCCO2)c1,C19H20F3N3O3,395.14567616,3.409700000000001,3,4,71.62,6
Cc1cccc(CNC(=O)c2nn(CCO)c3CCN(Cc4c[nH]c5ccccc45)Cc23)c1,C26H29N5O2,443.23212516800004,3.1534200000000006,3,5,86.18,7
C[C@H]1CN(Cc2ccc(F)c(c2)-c2ccc(N3CCN(C)CC3)c(NC(=O)c3c[nH]c(=O)cc3C(F)(F)F)c2)C[C@@H](C)O1,C31H35F4N5O3,601.26760286,4.813100000000004,2,6,80.91000000000001,6
C[C@@H]1COCCN1c1cc(nc(n1)-c1ccnc2[nH]ccc12)C(C)(C)O,C19H23N5O2,353.185174976,2.472400000000001,2,6,87.16000000000001,3
CN1CCC(CC1)c1cc(C)c2nc([nH]c2c1)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O,C27H30ClN5O2,491.20880287999995,4.8347200000000035,4,5,97.03999999999999,6
C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(N)(=O)=O)ncc2cc(Cl)c1=O,C18H25ClN6O4S,456.13465196,1.0007000000000006,3,8,143.44,4
CC(C)(O)C(=O)NCC1CCc2c(C1)sc1ncnc(Nc3ccc4[nH]c(=O)sc4c3)c21,C22H23N5O3S2,469.124231596,3.329900000000001,4,8,120.0,5
OCCN1CCN(CC1)c1nc2CCN(CCc2c(Nc2ccc(cc2)C(F)(F)F)n1)c1ncccc1C(F)(F)F,C27H29F6N7O,581.2337778680001,4.372300000000004,2,8,80.65,6
N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(O)=O,C12H22N6O6,346.1600824239999,-3.262729999999996,8,6,220.71999999999994,11
CC(C)OC(=O)c1cccnc1N1CCN(CC1)c1cccc(Cl)c1,C19H22ClN3O2,359.14005462399996,3.626800000000003,0,5,45.67,4
CS(=O)(=O)CC[C@@H]1OCC[C@@]2([C@H]1COc1c(F)ccc(F)c21)S(=O)(=O)c1ccc(cc1)C#N,C22H21F2NO6S2,497.07783583200006,2.7378800000000005,0,7,110.53,5
Nc1cc(c(cn1)-c1cc(nc(n1)N1CCOCC1)C1(CC1)S(=O)(=O)c1cccc(F)c1)C(F)(F)F,C23H21F4N5O3S,523.130123412,3.5783000000000023,1,8,111.29999999999998,5
Cn1c2ccccc2n(CCOc2ccc(Cl)cc2Cl)c1=O,C16H14Cl2N2O2,336.043233048,3.725800000000003,0,4,36.16,4
OC[C@H]1O[C@H](C[C@@H]1O)n1ccc(NCc2ccco2)nc1=O,C14H17N3O5,307.11682064400003,0.08909999999999973,3,8,109.75,5
CN1CCN(Cc2cnc(Nc3ncc(s3)-c3cc(C)nc(OC4CCCCC4)n3)cn2)CC1,C24H32N8OS,480.241978644,3.9010200000000026,1,10,92.19,7
COc1nc(ccc1Nc1ncc2ccnc(NCC(C)(C)OC)c2n1)-c1cnn(C)n1,C21H25N9O2,435.2131210400001,2.8044000000000002,2,11,124.79,8
CCN(CCN1CCC(CC1)c1c[nH]c2ccccc12)C(=O)[C@@H](C)O,C20H29N3O2,343.225977168,2.5766000000000004,2,3,59.57000000000001,6
CNC[C@@H]([C@@H](O)c1cc(F)cc(F)c1)c1ccc2ccccc2c1,C20H19F2NO,327.143470668,4.154600000000003,2,2,32.26,5
CCOc1cc(-c2ccc(nc2)N2CCC(CN3CCN(C)[C@@H](C)C3)(CC2)NC(=O)CC(C)C)c2c(cnn2c1)C#N,C32H44N8O2,572.358722648,3.803880000000002,1,9,102.03,9
Cc1cc(=O)oc2cc(Oc3ccc(Nc4c5CCCCCc5nc5ccc(Cl)cc45)cc3)ccc12,C30H25ClN2O3,496.15537034000005,8.107820000000004,1,5,64.36,4
Cc1ncc(NC(=O)c2ccnc(c2)C(C)(C)F)cc1-c1cc(N2CCOCC2)c(nn1)S(C)(=O)=O,C24H27FN6O4S,514.1798525639999,2.939020000000001,1,9,127.27000000000001,6
CS(=O)(=O)N[C@H]1CCCN([C@H]1COC1CCN(CC1)c1ccccc1F)C(=O)[C@@H]1C[C@@H]1F,C22H31F2N3O4S,471.200333912,2.0779,1,5,78.95,7
COc1nc(ccc1CN1CC2(C1)CCNC2)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1ccc(CN2CC3(C2)CCNC3)c(OC)n1,C38H42Cl2N6O2,684.274629944,6.392200000000007,2,8,74.78,9
NCCOCCOc1ccc(Cl)c2NC(=O)NC3(CCCCC3)c12,C17H24ClN3O3,353.150619308,2.988600000000001,3,4,85.61000000000001,6
Nc1nc2cc(ccc2c(=O)n1CC1CC(CO1)c1ccccc1)-c1ccccc1,C25H23N3O2,397.179026976,4.2184000000000035,1,5,70.14,4
COC(=O)N1CCC[C@H](NS(C)(=O)=O)[C@@H]1CO[C@H]1CC[C@H](CC1)c1ccccc1C(F)F,C22H32F2N2O5S,474.199999564,3.8156000000000025,1,5,84.94000000000001,7
CN(C)CCn1nc2C[C@]3(CCc4cc(OCCCC(F)(F)F)ccc34)NC(=O)c2c1NC(=O)CS(C)(=O)=O,C25H32F3N5O5S,571.207624784,2.2767,2,8,122.63,10
CN1CCN(CC1)c1cc(CCc2cc(C)cc(N)n2)cc(CCc2cc(C)cc(N)n2)c1,C27H36N6,444.300145152,3.580040000000001,2,6,84.3,7
